43460867,211334468;168408723;166945729;166945729;224774467;;;;;;;;;;;;;;;;;;;;;;;;;,0,0,234958341;240353791;243732551;236636320;236909177;174321567;118193695;237358313;153623641;221390588;225921098,19;1;3;1;2;2;4;3;1;1;4,372;8;1357;1351;44;37;110;1357;8;1351;99
16115314,237034845;178926070;199889298;203315949;234099627;220745277;232505826;219101113;222661073;222661073;237344523;206823274;235021435;235097690;;;;;;;;;;;;;;;;,1,0,180050721;223177879;237371682;188870581;238021008;243186507;135889917;191244533;207177678;183878239;116140924,7;5;3;3;3;6;8;9;4;4;1,158;124;1357;1357;1357;146;189;193;1361;1361;1351
7193343,236741952;199274682;237416657;236301770;216971894;;;;;;;;;;;;;;;;;;;;;;;;;,0,1,239347955;242866614;194678736;240831002;237423913;142287008;242298419;236891878;194110647;199397435;224805579,10;1;8;5;1;1;1;0;3;1;10,212;1351;190;112;8;4;8;0;1357;1351;1378
1291643,177894472;236556589;173596413;;;;;;;;;;;;;;;;;;;;;;;;;;;,0,0,237764153;93843692;236680934;235988796;242364995;191536225;218891515;121696632;162600272;242665052;228714170,5;3;1;3;3;1;1;1;2;4;4,124;1357;8;1357;1357;8;1495;1351;37;99;111
1155416,230926376;236407586;236407586;232182340;180050721;;;;;;;;;;;;;;;;;;;;;;;;;,0,0,240450348;203045097;227013586;238640838;215517029;230635028;231089916;236961881;242907686;201062619;194515385,20;1;1;3;4;8;3;0;2;1;1,1383;3;1351;94;111;176;1357;0;44;8;1351
5271962,233628808;186919559;234851640;231412765;175440986;175440986;241630148;;;;;;;;;;;;;;;;;;;;;;;,0,1,240575939;237955753;227504533;236249647;235980281;241556396;202293172;188224389;174475361;127532136;238720502,5;1;1;3;4;1;1;3;1;1;2,124;1351;1350;1357;1498;8;4;1358;8;4;44
111133044,227777518;238529308;216116221;224530890;239763264;180084107;;;;;;;;;;;;;;;;;;;;;;;;,1,1,241517860;153406379;237265325;221775128;181949339;202413310;189556609;183530278;186899602;222443224;243932773,5;1;0;4;4;4;0;3;1;1;12,134;8;0;111;99;111;0;1357;8;1351;260
15080670,215606765;216314429;224800577;180050721;138319525;222689335;200864755;174466200;215929551;;;;;;;;;;;;;;;;;;;;;,0,0,236844056;213373324;185336452;217520282;239813020;233544979;186138292;239191803;235062333;241602103;238254396,5;73;2;5;5;5;5;5;3;3;3,129;1306;28;113;124;126;124;124;1357;94;94
24783772,232615058;199431329;241268542;242159876;210795225;236793582;136711441;240065438;236840610;197037367;228105199;216617915;201724985;200873844;238219699;242969349;;;;;;;;;;;;;;,0,0,130439594;132751705;236635599;238661029;242591323;109359055;198092954;238183731;215147461;235457130;242341804,7;3;5;3;10;1;5;5;1;1;2,173;1357;124;1357;212;8;113;124;8;4;44
32640245,197280037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,1,0,235279399;176020037;190574530;190215136;208735416;190402080;237586588;164040215;203874266;190395261;243338139,12;8;1;1;8;4;11;8;1;1;2,262;176;4;4;177;99;234;176;8;8;44
